,Moive Name,Rating,Votes,Meta Score,Genre,PG Rating,Year,Duration,Cast,Director
216, Mindwash,4.1,64.0,NA,NA,NA,NA,NA,NA,NA
217, Hellhound,4.3,243.0,NA,NA,NA,NA,NA,NA,NA
218, Will & Harper,8.5,69.0,75,Documentary,NA,NA,NA,"Will Ferrell, Harper Steele",Josh Greenbaum
219, Star Wars: New Jedi Order,NA,NA,NA,NA,NA,NA,NA,NA,NA
220, Now You See Me 3,NA,NA,NA,NA,NA,NA,NA,NA,NA
221, Armored,NA,NA,NA,NA,NA,NA,NA,NA,NA
222, Speak No Evil,NA,NA,NA,NA,NA,NA,NA,NA,NA
223, Lilo & Stitch,NA,NA,NA,NA,NA,NA,NA,NA,NA
224, Roosevelt,NA,NA,NA,NA,NA,NA,NA,NA,NA
225, Thelma,7.4,146.0,76,"Action, Comedy",NA,NA,NA,"June Squibb, Fred Hechinger, Parker Posey, Clark Gregg",Josh Margolin
226, Rust,NA,NA,NA,NA,NA,NA,NA,NA,NA
227, Untitled Spider-Man Sequel,NA,NA,NA,NA,NA,NA,NA,NA,NA
228, Salem's Lot,NA,NA,NA,NA,NA,NA,NA,NA,NA
229, Not Another Church Movie,NA,NA,NA,NA,NA,NA,NA,NA,NA
230, Open Wide,5.8,318.0,NA,NA,NA,NA,NA,NA,NA
231, The Windigo,5.5,393.0,NA,NA,NA,NA,NA,NA,NA
232, Django/Zorro,NA,NA,NA,NA,NA,NA,NA,NA,NA
233, Paddington in Peru,NA,NA,NA,NA,NA,NA,NA,NA,NA
234, Seize Them!,NA,NA,NA,NA,NA,NA,NA,NA,NA
235, Untitled Maggie Gyllenhaal Project,NA,NA,NA,NA,NA,NA,NA,NA,NA
236, In the Summers,7.6,102.0,83,Drama,NA,NA,NA,"Residente, Sasha Calle, Lio Mehiel, Dreya Castillo",Alessandra Lacorazza Samudio
237, The Wild Robot,NA,NA,NA,NA,NA,NA,NA,NA,NA
238, Kevin James: Irregardless,5.6,524.0,NA,NA,NA,NA,NA,NA,NA
239, Kneecap,7.4,126.0,81,"Comedy, Drama",NA,NA,NA,"Móglaí Bap, Mo Chara, DJ Próvai, Josie Walker",Rich Peppiatt
240, Mother of the Bride,NA,NA,NA,NA,NA,NA,NA,NA,NA
241, The Wolf Man,NA,NA,NA,NA,NA,NA,NA,NA,NA
242, Spring Break '83,NA,NA,NA,NA,NA,NA,NA,NA,NA
243, The Night They Came Home,3.7,270.0,NA,NA,NA,NA,NA,NA,NA
244, Breakwater,5.1,638.0,NA,NA,NA,NA,NA,NA,NA
245, The Rosie Project,NA,NA,NA,NA,NA,NA,NA,NA,NA
246, Camp Pleasant Lake,NA,NA,NA,NA,NA,NA,NA,NA,NA
247, Clue,NA,NA,NA,NA,NA,NA,NA,NA,NA
248, Your Monster,8.6,102.0,68,"Comedy, Horror, Romance",NA,NA,NA,"Melissa Barrera, Meghann Fahy, Tommy Dewey, Edmund Donovan",Caroline Lindy
249, Arthur's Whisky,4.4,483.0,NA,NA,NA,NA,NA,NA,NA
250, Terminator: Skynet Rising,NA,NA,NA,NA,NA,NA,NA,NA,NA
251, Red Right Hand,NA,NA,NA,NA,NA,NA,NA,NA,NA
252, National Treasure 3,NA,NA,NA,NA,NA,NA,NA,NA,NA
253, Hellboy: The Crooked Man,NA,NA,NA,NA,NA,NA,NA,NA,NA
254, The King's Man: The Traitor King,NA,NA,NA,NA,NA,NA,NA,NA,NA
255," Justice League: Crisis on Infinite Earths, Part Two",NA,NA,NA,NA,NA,NA,NA,NA,NA
256, BRZRKR,NA,NA,NA,NA,NA,NA,NA,NA,NA
257, Untitled Star Trek: Beyond Sequel,NA,NA,NA,NA,NA,NA,NA,NA,NA
258, The Thursday Murder Club,NA,NA,NA,NA,NA,NA,NA,NA,NA
259, Lights Out,5.8,111.0,NA,NA,NA,NA,NA,NA,NA
260, Didi,NA,NA,77,"Comedy, Drama",NA,NA,NA,"Izaac Wang, Joan Chen, Shirley Chen, Chang Li Hua",Sean Wang
261, Winter Spring Summer or Fall,NA,NA,NA,NA,NA,NA,NA,NA,NA
262, Live Die Repeat and Repeat,NA,NA,NA,NA,NA,NA,NA,NA,NA
263, Swimming Home,7.1,29.0,NA,NA,NA,NA,NA,NA,NA
264, We're the Millers 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
265, Red Notice 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
266, Blink Twice,NA,NA,NA,NA,NA,NA,NA,NA,NA
267, Pet Shop Boys Dreamworld: The Greatest Hits Live at the Royal Arena Copenhagen,8.3,103.0,NA,NA,NA,NA,NA,NA,NA
268, Thelma the Unicorn,NA,NA,NA,NA,NA,NA,NA,NA,NA
269, Girl You Know It's True,7.4,599.0,NA,NA,NA,NA,NA,NA,NA
270, Krazy House,5.5,120.0,NA,NA,NA,NA,NA,NA,NA
271, Hell Camp: Teen Nightmare,6.1,2500.0,NA,NA,NA,NA,NA,NA,NA
272, Star Trek: Section 31,NA,NA,NA,NA,NA,NA,NA,NA,NA
273, Rendezvous with Rama,NA,NA,NA,NA,NA,NA,NA,NA,NA
274, Young Woman and the Sea,NA,NA,NA,NA,NA,NA,NA,NA,NA
275, Greedy People,NA,NA,NA,NA,NA,NA,NA,NA,NA
276, Woody Woodpecker Goes to Camp,NA,NA,NA,NA,NA,NA,NA,NA,NA
277, Rush Hour 4,NA,NA,NA,NA,NA,NA,NA,NA,NA
278, Dutch II,7.8,22.0,NA,NA,NA,NA,NA,NA,NA
279, Memento,NA,NA,NA,NA,NA,NA,NA,NA,NA
280, I Wish You All the Best,NA,NA,NA,NA,NA,NA,NA,NA,NA
281, Death Stranding,NA,NA,NA,NA,NA,NA,NA,NA,NA
282, Death of a Unicorn,NA,NA,NA,NA,NA,NA,NA,NA,NA
283, The Deliverance,NA,NA,NA,NA,NA,NA,NA,NA,NA
284, Mickey's Mouse Trap,NA,NA,NA,NA,NA,NA,NA,NA,NA
285, Mea Culpa,NA,NA,NA,NA,NA,NA,NA,NA,NA
286, The Last Planet,NA,NA,NA,NA,NA,NA,NA,NA,NA
287, God & Country,7.8,11.0,NA,NA,NA,NA,NA,NA,NA
288, Modi,NA,NA,NA,NA,NA,NA,NA,NA,NA
289, Untitled Scarlett Johansson/Channing Tatum Film,NA,NA,NA,NA,NA,NA,NA,NA,NA
290, Play Dirty,NA,NA,NA,NA,NA,NA,NA,NA,NA
291, Escape from Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA
292, Merrily We Roll Along,NA,NA,NA,NA,NA,NA,NA,NA,NA
293, Blitz,NA,NA,NA,NA,NA,NA,NA,NA,NA
294, Between the Temples,7.1,85.0,82,Comedy,NA,NA,NA,"Jason Schwartzman, Carol Kane, Dolly De Leon, Caroline Aaron",Nathan Silver
295, Cocktails with Nick and Lana,8.2,189.0,NA,NA,NA,NA,NA,NA,NA
296, In the Hand of Dante,NA,NA,NA,NA,NA,NA,NA,NA,NA
297, Supergirl,NA,NA,NA,NA,NA,NA,NA,NA,NA
298, Untitled Margot Robbie Ocean's Eleven Film,NA,NA,NA,NA,NA,NA,NA,NA,NA
299, Untitled Avatar: The Last Airbender Film 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
300, Wicked: Part Two,NA,NA,NA,NA,NA,NA,NA,NA,NA
301, Here,NA,NA,NA,NA,NA,NA,NA,NA,NA
302, La Cocina,7.6,82.0,NA,NA,NA,NA,NA,NA,NA
303, Arcadian,NA,NA,NA,NA,NA,NA,NA,NA,NA
304, Johnny Puff: Secret Mission,7.0,138.0,NA,NA,NA,NA,NA,NA,NA
